ADM3_FR,ADM2_FR,ADM1_FR,shape_Leng,Shape_Area,ADM0_PCODE,Country,Latitude,Longitude,Population,Area,Total_bran,Total_ATMs,Total_geoc
Ber,Tombouctou,Tombouctou,9.148591658330000,3.009435585770000,ML,mali,18.584016999999999,-1.583054000000000,"18967",3730000.000,0.000000000000000,0.000000000000000,
Défina,Bougouni,Sikasso,0.534977502240000,0.011755801593700,ML,mali,10.997673000000001,-7.181563000000000,"8019",17700.000,0.000000000000000,0.000000000000000,
Dangha,Diré,Tombouctou,0.968309110507000,0.018550332860300,ML,mali,16.445808000000000,-3.165224000000000,"12905",27800.000,0.000000000000000,0.000000000000000,
Haibongo,Diré,Tombouctou,0.677767038929000,0.020224497117400,ML,mali,16.230941000000001,-3.228658000000000,"14257",23300.000,0.000000000000000,0.000000000000000,
Kirchamba,Diré,Tombouctou,0.387077189751000,0.007058802028310,ML,mali,16.329820000000002,-3.257218000000000,"4120",9600.000,0.000000000000000,0.000000000000000,
Kondi,Diré,Tombouctou,0.403826007049000,0.008456785094490,ML,mali,16.346471999999999,-3.510361000000000,"3051",16100.000,0.000000000000000,0.000000000000000,
Sareyamou,Diré,Tombouctou,0.943646614845000,0.044958820001600,ML,mali,16.096250999999999,-3.268476000000000,"16946",53100.000,0.000000000000000,0.000000000000000,
Diré,Diré,Tombouctou,0.583384487427000,0.013386879794100,ML,mali,16.246431000000001,-3.454829000000000,"20337",22600.000,0.000000000000000,0.000000000000000,
Tilemsi,Goundam,Tombouctou,4.639638055400000,0.581271299937000,ML,mali,16.699857999999999,0.275111000000000,"17242",1114000.000,0.000000000000000,0.000000000000000,
Bintagoungou,Goundam,Tombouctou,0.415330001741000,0.007768768705640,ML,mali,16.653977999999999,-3.758000000000000,"8313",14000.000,0.000000000000000,0.000000000000000,
Douékire,Goundam,Tombouctou,1.585096605430000,0.097423617091000,ML,mali,16.651893999999999,-3.452177000000000,"18095",123100.000,0.000000000000000,0.000000000000000,
Essakane,Goundam,Tombouctou,5.351818402980000,0.571152284112000,ML,mali,16.987795999999999,-3.607614000000000,"11358",754000.000,0.000000000000000,0.000000000000000,
Kaneye,Goundam,Tombouctou,0.485063839079000,0.005011070349660,ML,mali,16.399892999999999,-3.565985000000000,"2332",16100.000,0.000000000000000,0.000000000000000,
M'bouna,Goundam,Tombouctou,0.696835391899000,0.025081764907700,ML,mali,16.665828999999999,-3.962868000000000,"3831",29200.000,0.000000000000000,0.000000000000000,
Razelma,Goundam,Tombouctou,16.020501638599999,3.682201928160000,ML,mali,21.474045000000000,-5.816745000000000,"4398",4350000.000,0.000000000000000,0.000000000000000,
Dombia,Kéniéba,Kayes,0.493572168806000,0.011580163960100,ML,mali,12.768447000000000,-11.081277999999999,"7582",13600.000,0.000000000000000,0.000000000000000,
Souransan Tomoto,Kita,Kayes,0.556517077915000,0.013986026678000,ML,mali,13.364409000000000,-9.475085000000000,"8520",15600.000,0.000000000000000,0.000000000000000,
Séféto Nord,Kita,Kayes,0.663487411344000,0.024768674019000,ML,mali,14.233651000000000,-9.708176000000000,"11558",29200.000,0.000000000000000,0.000000000000000,
Koussan,Yanfolila,Sikasso,2.078335999900000,0.120334559962000,ML,mali,10.468617999999999,-7.934377000000000,"10191",144000.000,0.000000000000000,0.000000000000000,
Kita Nord,Kita,Kayes,0.503825955814000,0.010082848351500,ML,mali,13.133317000000000,-9.455742000000001,"8568",13300.000,0.000000000000000,0.000000000000000,
Koniakary,Kayes,Kayes,0.196479743523000,0.002402637756420,ML,mali,14.583159000000000,-10.919499000000000,"8141",5000.000,0.000000000000000,0.000000000000000,
Marintoumania,Kayes,Kayes,1.171217355070000,0.049800667483800,ML,mali,14.698305000000000,-10.898389000000000,"8061",57900.000,0.000000000000000,0.000000000000000,
Maréna Diombougou,Kayes,Kayes,0.644806409805000,0.020876583124700,ML,mali,14.571790000000000,-11.089186000000000,"18672",27300.000,0.000000000000000,0.000000000000000,
Khouloum,Kayes,Kayes,0.645471800163000,0.017058413586700,ML,mali,14.497292000000000,-11.343124000000000,"18994",21000.000,1.000000000000000,0.000000000000000,"0"
Karakoro,Kayes,Kayes,1.181186657730000,0.076373019961000,ML,mali,15.216265000000000,-11.671578999999999,"38188",116500.000,0.000000000000000,0.000000000000000,
Kouroulamini,Bougouni,Sikasso,1.255729046450000,0.025861244809300,ML,mali,11.253315000000001,-7.708354000000000,"6245",35600.000,0.000000000000000,0.000000000000000,
Farédiélé,Bougouni,Sikasso,0.539931098710000,0.012028515647900,ML,mali,11.334758000000001,-7.640402000000000,"2689",15500.000,0.000000000000000,0.000000000000000,
Dougoufié,Baraouéli,Ségou,0.432474016177000,0.008085601138960,ML,mali,13.286699000000000,-6.640426000000000,"9260",10900.000,0.000000000000000,0.000000000000000,
Sama Foulala,Ségou,Ségou,0.667635262745000,0.012830308150200,ML,mali,13.407856000000001,-6.516004000000000,"7032",13000.000,0.000000000000000,0.000000000000000,
Benkadi,Sikasso,Sikasso,0.556110915155000,0.014523988911400,ML,mali,12.022207999999999,-8.696379000000000,"25298",104400.000,0.000000000000000,0.000000000000000,
